epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8936,1.42194,5.0292,0.01227,0.97714,0.09252,0.13724,0.07765,1.38395,5.82656,0.01421,0.000410053,0.000410053,0.000410053
2,44.4022,1.43119,3.96052,0.01252,0.69595,0.47321,0.5138,0.22763,1.76114,4.67938,0.02076,0.000799438,0.000799438,0.000799438
3,62.4262,1.44537,3.43673,0.01318,0.81069,0.47753,0.57893,0.28343,1.7747,4.10339,0.02205,0.00116132,0.00116132,0.00116132
4,82.4146,1.48849,2.97202,0.01355,0.73871,0.55145,0.59457,0.27996,1.75909,3.19788,0.02166,0.00112625,0.00112625,0.00112625
5,100.174,1.45515,2.65429,0.0133,0.68291,0.59946,0.64579,0.31867,1.72046,2.83855,0.02084,0.001085,0.001085,0.001085
6,118.488,1.44574,2.41325,0.01307,0.84487,0.55806,0.67457,0.33476,1.77536,2.36147,0.02187,0.00104375,0.00104375,0.00104375
7,136.635,1.44021,2.15944,0.01299,0.84262,0.59687,0.70357,0.34593,1.81507,2.20045,0.02199,0.0010025,0.0010025,0.0010025
8,156.547,1.42689,2.00699,0.01282,0.87662,0.61814,0.72482,0.3916,1.74608,1.95204,0.02198,0.00096125,0.00096125,0.00096125
9,175.291,1.43273,1.91096,0.01237,0.8452,0.62612,0.73319,0.38314,1.68762,1.91744,0.01975,0.00092,0.00092,0.00092
10,193.094,1.41498,1.80611,0.01266,0.86185,0.66374,0.74796,0.39342,1.70726,1.77514,0.02071,0.00087875,0.00087875,0.00087875
11,211.612,1.3998,1.73639,0.0123,0.80699,0.66473,0.73318,0.39719,1.673,1.78487,0.02037,0.0008375,0.0008375,0.0008375
12,230.256,1.38853,1.67366,0.01193,0.83238,0.65941,0.72935,0.3876,1.72648,1.78658,0.02049,0.00079625,0.00079625,0.00079625
13,249.346,1.35687,1.59149,0.01174,0.82962,0.69159,0.75155,0.3946,1.68964,1.70492,0.01985,0.000755,0.000755,0.000755
14,267.009,1.36378,1.53626,0.0115,0.85651,0.63103,0.73157,0.39133,1.7155,1.5705,0.02033,0.00071375,0.00071375,0.00071375
15,284.673,1.33737,1.49253,0.01152,0.82349,0.6579,0.72375,0.40047,1.68987,1.66151,0.02034,0.0006725,0.0006725,0.0006725
16,302.924,1.34088,1.45505,0.0113,0.87442,0.66255,0.76476,0.37691,1.71275,1.50271,0.02027,0.00063125,0.00063125,0.00063125
17,320.875,1.30519,1.43341,0.0109,0.85703,0.68543,0.77402,0.42753,1.70476,1.41364,0.02009,0.00059,0.00059,0.00059
18,340.415,1.26866,1.3543,0.01057,0.86649,0.68014,0.78106,0.44939,1.68363,1.48233,0.01915,0.00054875,0.00054875,0.00054875
19,358.582,1.28267,1.33479,0.01046,0.80531,0.72239,0.77242,0.42048,1.71325,1.35114,0.02037,0.0005075,0.0005075,0.0005075
20,376.088,1.26642,1.2996,0.01033,0.86713,0.67348,0.78759,0.44407,1.60103,1.40395,0.01797,0.00046625,0.00046625,0.00046625
21,393.711,1.23197,1.23977,0.00993,0.89092,0.70796,0.80558,0.46146,1.59513,1.32049,0.01796,0.000425,0.000425,0.000425
22,411.941,1.23697,1.22883,0.00994,0.89232,0.71354,0.82308,0.46315,1.59234,1.27536,0.01798,0.00038375,0.00038375,0.00038375
23,431.156,1.22803,1.18581,0.00954,0.89065,0.70172,0.81371,0.45663,1.6308,1.3297,0.0186,0.0003425,0.0003425,0.0003425
24,449.274,1.20084,1.15998,0.00954,0.93938,0.67955,0.81653,0.46012,1.61174,1.27893,0.01771,0.00030125,0.00030125,0.00030125
25,466.959,1.19082,1.14606,0.00926,0.92429,0.68341,0.81705,0.47223,1.64526,1.26832,0.01816,0.00026,0.00026,0.00026
26,485.411,1.16615,1.13593,0.00915,0.91005,0.69709,0.82742,0.47849,1.59636,1.23072,0.01784,0.00021875,0.00021875,0.00021875
27,504.249,1.16733,1.10407,0.00898,0.87105,0.75598,0.82708,0.48053,1.55882,1.21274,0.01718,0.0001775,0.0001775,0.0001775
28,524.184,1.14856,1.09937,0.00889,0.8962,0.72948,0.82042,0.47207,1.58424,1.25772,0.01798,0.00013625,0.00013625,0.00013625
29,542.073,1.15648,1.12583,0.00875,0.85219,0.75506,0.82565,0.47327,1.6063,1.26159,0.01823,9.5e-05,9.5e-05,9.5e-05
30,559.975,1.14275,1.06937,0.00868,0.92986,0.6939,0.8232,0.47057,1.57687,1.2468,0.01756,5.375e-05,5.375e-05,5.375e-05
